"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.09.2017","3,1243","3,1107","3,1470","3,1080","","0,53%"
"10.09.2017","3,1079","3,0905","3,1504","3,0789","","0,69%"
"03.09.2017","3,0865","3,1410","3,1452","3,0821","","-1,73%"
"27.08.2017","3,1409","3,1587","3,1767","3,1223","","-0,59%"
"20.08.2017","3,1595","3,1493","3,1907","3,1328","","0,42%"
"13.08.2017","3,1462","3,1762","3,2062","3,1405","","-1,48%"
"06.08.2017","3,1934","3,1316","3,2208","3,1190","","2,01%"
"30.07.2017","3,1305","3,1330","3,1444","3,1074","","-0,04%"
"23.07.2017","3,1316","3,1400","3,1774","3,1288","","-0,32%"
"16.07.2017","3,1416","3,1804","3,1879","3,1102","","-1,19%"
"09.07.2017","3,1794","3,2799","3,2813","3,1781","","-3,11%"
"02.07.2017","3,2813","3,3194","3,3317","3,2679","","-0,78%"
"25.06.2017","3,3072","3,3453","3,3453","3,2708","","-1,07%"
"18.06.2017","3,3430","3,2901","3,3488","3,2801","","1,51%"
"11.06.2017","3,2933","3,2967","3,3340","3,2641","","-0,12%"
"04.06.2017","3,2971","3,2471","3,3026","3,2471","","1,50%"
"28.05.2017","3,2483","3,2670","3,2774","3,2151","","-0,36%"
"21.05.2017","3,2601","3,2533","3,3190","3,2470","","0,22%"
